Accession Number,Collector Number,Genus,Species,Habitat,Determined By,UUID
A88568,PTM135,Mastocarpus,papillatus species complex (Clade 1),"Flat top of spit, on boulders, 2.6 m above 0 tide level",Sandra C. Lindstrom,77EA8AF0-DA33-B24E-979B-AF726A0F5176
A88570,PTM184,Mastocarpus,rigidus,Mid intertidal with Fucus and Hedophyllum,Sandra C. Lindstrom,AA20F481-D40D-2A4E-BDF0-687C63DD27FE
A89257,PTM202,Amphiroa,sp., ,Patrick T. Martone,1FCB931E-1110-414D-8D9C-2F8815CB0703
A89258,PTM203,Corallina,caespitosa,Near Sargassum sp.,Patrick T. Martone and Katy R. Hind,A747D82C-7430-D549-8DFB-A1A2A48C9206
A89259,PTM204,Corallina,caespitosa, ,Patrick T. Martone and Katy R. Hind,5D34DF3C-1E15-B547-89F6-25945242DF75
A89260,PTM205,Corallina,caespitosa,Outside tidepool,Patrick T. Martone and Katy R. Hind,038F1706-FD71-0C45-8ECB-8233524FCEB4
A89261,PTM206,Pseudolithophyllum,neofarlowii,"Under Fucus sp., and Halosaccion sp.",Patrick T. Martone,C0A12424-942C-7645-9CC1-187B33FA9E6B
A89262,PTM215,Pseudolithophyllum,whidbeyense,Under Saccharina sessilis,Patrick T. Martone,115A349F-4485-404F-893B-DC3EC7CE7235
A89263,PTM303,Corallina,vancouveriensis, ,Patrick T. Martone,ECECBF10-7D06-9E47-A474-B3EA852C084C
A89264,PTM304,Calliarthron,tuberculosum,Tidepools ,Patrick T. Martone,02D8E1E4-461E-C64E-AFBB-606BE00319D5
A89265,PTM305,Bossiella,frondescens,Tidepools ,Patrick T. Martone,E2B40FFA-82BF-7540-9778-730339331116
A89266,PTM306,Corallina,sp.,"Exposed, tidepools",Patrick T. Martone,2237F9B2-C18D-4D49-8FE1-EE3DA43FFA50
A89267,PTM307,Bossiella,sp.,Tidepools ,Katy R. Hind,06BFD44E-BBB2-1848-83DB-EB829B14E60E
A89268,PTM308,Pseudolithophyllum,neofarlowii,Tidepools ,Patrick T. Martone,76839F7E-757F-BD4A-B993-9057E4FC8C50
A89269,PTM312,Mesophyllum,vancouveriense,On Phyllospadex sp. root?,Patrick T. Martone,C7B58A90-29E1-924C-9990-D5E5CFD7A026
A89270,PTM315,Calliarthron,tuberculosum,"Exposed point, tidepool",Patrick T. Martone,EBBE2989-8216-2842-8B73-23B6813B6A44
A89271,PTM316,Bossiella,sp., ,Katy R. Hind,5C4B8047-8E42-EF48-B5C1-D4BDF68F766F
A89272,PTM317,Bossiella,frondifera, ,Katy R. Hind,80D29D26-9412-1B40-B45D-CF87977B5166
A89273,PTM319,Bossiella,frondescens,Under Saccharina sessilis,Patrick T. Martone,09C6B689-87E7-ED44-A836-A16065E359BB
A89274,PTM320,Corallina,vancouveriensis,Under Saccharina sessilis,Patrick T. Martone,1293D01A-FBDC-F044-AB84-792434259963
A89275,PTM321,Johansenia,macmillanii,Tidepools ,Patrick T. Martone,F5C10511-B5F4-4944-84A6-05B663DEAF5F
A89276,PTM322,Bossiella,dichotoma,Tidepools ,Patrick T. Martone,1EDE48CF-B2DC-B74F-A842-17552043B57C
A89277,PTM323,Bossiella,frondifera,Tidepools ,Katy R. Hind,3FD54C63-74AE-9A4A-B27E-7AFC8B63EB31
A89278,PTM325,Bossiella,sp.,Tidepool ,Katy R. Hind,F4E91060-B5FA-8144-A4C9-AC2F74CB6B97
A89279,PTM326,Corallina,sp.,Tidepools ,Katy R. Hind,DBE16162-29EE-8A40-BA67-4343A1271422
A89280,PTM328,Corallina,vancouveriensis,"Exposed point, tidepool",Patrick T. Martone,0AE3ED40-E6B9-004A-A3FC-C4A9BD4B210F
A89281,PTM329,Bossiella,manzae,Exposed point,Katy R. Hind,0091A002-5847-474F-A3EB-2A81A988272C
A89282,PTM330,Bossiella,sp.,Exposed point,Katy R. Hind,CFDCBC7D-578B-AE4B-9CB1-288CBA323C27
A89283,PTM331,Bossiella,plumosa,Exposed point,Patrick T. Martone,C3C8E327-7808-6143-BFFF-D5D8879066A8
A89284,PTM332,Corallina,sp.,Exposed point,Patrick T. Martone,C856D37A-1976-0141-BAB1-56C802509684
A89285,PTM333,Corallina,sp.,Exposed point,Patrick T. Martone,9745041A-9DF9-D748-B395-3C967998C72B
A89286,PTM335,Corallina,sp.,Exposed point,Patrick T. Martone,516A0337-2613-5447-8AE4-A88C567C7FD5
A89287,PTM336,Chiharaea,silvae,Exposed point,Patrick T. Martone,B57EA44F-C43C-EE45-9993-2A1542C0693D
A89288,PTM337,Corallina,sp.,Exposed point,Patrick T. Martone,17482347-ABE7-B341-BF02-538E1074E9D1
A89289,PTM338,Trentepohlia,flava,Cliff face,Patrick T. Martone,DE91AEDF-3510-AC49-8325-C6BC97A0F40C
A89290,PTM339,Pseudolithophyllum,muricatum,"Exposed point, tidepool, with Lithothamnion phymatodeum",Patrick T. Martone,2ED62BC4-B206-9143-9BE7-C836CFA828BF
A89291,PTM340,Pseudolithophyllum,muricatum,Exposed point; under Saccharina sessilis,Patrick T. Martone,9BE9966C-D868-6A45-AE30-81040B9C8037
A89292,PTM341,Pseudolithophyllum,whidbeyense,"Exposed point, under Alaria sp.",Patrick T. Martone,9069F9B9-5CB4-6C44-BEA7-C11F529A3C38
A89293,PTM342,Lithothamnion,phymatodeum, ,Patrick T. Martone,6B6A3525-F25B-4742-AB9A-6E5F5C7AEBFF
A89294,PTM343,Pseudolithophyllum,whidbeyense,"Exposed point, under Alaria sp.",Patrick T. Martone,DB6F5D22-20E6-A545-9B4B-3D64ECA6CE07
A89295,PTM344,Pseudolithophyllum,whidbeyense,"Exposed point, under Saccharina sessilis",Patrick T. Martone,2545B79C-FEDA-2C4C-94FB-E4FF49CB084A
A89296,PTM345,Lithophyllum,impressum,Exposed point,Patrick T. Martone,7579A2C1-4967-0B4E-825B-DA292F95E083
A88572,PTM1,Corallina,officinalis,"Above ""Coralline Bench"" on vertical wall",Paul W. Gabrielson,A7E920DD-3153-E242-A527-A81A427382A8
A88575,PTM8,Lithothrix,aspergillum, ,Patrick T. Martone,A3CABF8E-362A-C742-BC9F-92CB7B358863
A88576,PTM9,Bossiella,dichotoma,In tidepools,Patrick T. Martone,AB9383A3-69C9-474E-B885-95444F156E7B
A88577,PTM10,Corallina,officinalis,Collected from drift,Paul W. Gabrieson,84FAFE7E-B28F-D540-8E0B-0F6AA71F361C
A88578,PTM11,Corallina,officinalis,Collected from drift,Paul W. Gabrielson,40A4EC73-9850-3942-936A-E88EEBDE5098
A88579,PTM12,Corallina,vancouveriensis,Collected from drift,Patrick T. Martone,4081D096-EC83-3B44-B172-3ABC83233100
A88580,PTM13,Haliptilon,gracile,Collected from drift,Patrick T. Martone,E2B36D09-A164-D445-A9A4-CE78D1EC48E8
A88581,PTM14,Amphiroa,zonata,Collected by snorkel,Patrick T. Martone,3E318913-5209-E049-A546-6B4783AD5482
A88582,PTM15,Bossiella,dichotoma,Collected from drift,Paul W. Gabrielson,9C6CE22E-82FB-8346-89BF-9A687C1B0609
A88585,PTM20,Bossiella,dichotoma,Epilithic ,Patrick T. Martone,EB4D7103-E05B-A04A-B63C-D62469D21CEF
A88586,PTM21,Bossiella,dichotoma,Epilithic ,Patrick T. Martone,99051FB4-92BD-B540-872C-242AE3A4D33B
A88587,PTM24,Bossiella,californica,One headland East of Point Pinos,Patrick T. Martone and Katy R. Hind,B2186810-D7CD-4943-A7AA-30DC85B7DBCB
A88588,PTM25,Bossiella,californica,Collected from drift on Agassiz Beach,Paul W. Gabrielson,9D97A51D-D8B7-AC44-8946-F339306D55C3
A88589,PTM26,Melobesia,marginata,Collected in drift on Agassiz Beach,Patrick T. Martone,3781EE1E-1E1C-0244-865F-53F7BF74AC49
A88591,PTM33,Bossiella,dichotoma,Down from 4 dynamometer tidepool,Patrick T. Martone,2E277593-5190-EC40-9416-80DF322A3066
A88592,PTM34,Bossiella,dichotoma,Down from 4 dynamometer tidepool,Patrick T. Martone,EADC35AF-AC59-FE43-8A63-B800E517BB98
A88593,PTM35,Bossiella,dichotoma,Down from 4 dynamometer tidepool,Patrick T. Martone,484B863B-4FE2-5747-9F7E-898360B13191
A88594,PTM36,Bossiella,plumosa,Down from 4 dynamometer tidepool,Patrick T. Martone,BC7011CD-4A02-F14D-9031-C1348C1D7820
A88595,PTM37,Clathromorphum,reclinatum,Down from 4 dynamometer tidepool,Patrick T. Martone,09A64C1A-DABC-E14A-A5CB-53AF8766B457
A88596,PTM38,Bossiella,californica,Down from 4 dynamometer tidepool,Patrick T. Martone and Katy R. Hind,6C952524-3BA1-104A-BE26-9CF07FD91545
A88597,PTM43,Bossiella,californica,East of point,Patrick T. Martone,B4294B25-2225-A54B-80A0-63A1855DD828
A88598,PTM65,Bossiella,frondifera,Under Saccharina sessilis,Patrick T. Martone,7F96E033-C273-5040-8829-1A090DF04732
A88599,PTM66,Cheilosporum,sagittatum,Epilithic ,Patrick T. Martone,AAB95E1F-472D-4F4D-8FE4-3406EFEAD89E
A88600,PTM67,Jania,verrucosa,Tidepool ,Patrick T. Martone,BBB281BE-3548-294B-B552-18C2B1A4B279
A88601,PTM68,Haliptilon,roseum,Epilithic ,Patrick T. Martone,2BED5934-303D-9D4A-9A0D-E8119569DE1F
A88602,PTM69,Arthrocardia,flabellata,Tidepool ,Patrick T. Martone,F092E8F7-0788-2B4A-AB95-13F3B7874070
A88603,PTM70,Amphiroa,anceps,Epilithic ,Patrick T. Martone,EA6E4D5E-2483-424F-B515-1356C6651C8F
A88604,PTM71,Haliptilon,roseum,Epilithic ,Patrick T. Martone,6A20B3D5-1F49-F043-A914-237DA9DD2E49
A88605,PTM72,Jania,fastigiata,Drift on Sargassum,Patrick T. Martone,4D1DFA26-D24C-874D-99EA-6AF604F10C55
A88606,PTM73,Corallina,officinalis, ,Patrick T. Martone,ECEE8F9A-ED37-844E-999A-87C881FE26FF
A88607,PTM79,Melobesia,mediocris,On Phyllospadix sp.,Patrick T. Martone,58F41A04-D335-2146-8118-B9C656F1F814
A88608,PTM80,Bossiella,sp.,Under Phyllospadix sp.,Patrick T. Martone,1CB509A0-F930-BC45-998C-0FF0F4E09C7E
A88609,PTM81,Clathromorphum,reclinatum,On Bossiella frondifera,Patrick T. Martone,B7A282EE-2A76-B642-BCA8-2B742AD13AB2
A88610,PTM82,Bossiella,frondescens,Also Clathromorphum sp. and Corallina sp.,Paul W. Gabrielson,D0AE6E5A-541F-B847-8F95-1349925B7878
A88611,PTM83,Corallina,vancouveriensis,Also Clathromorphum sp. and Corallina sp.,Patrick T. Martone,13C122E1-9C86-DB4A-AD21-3539CDDD4252
A88612,PTM84,Bossiella,reptans,Under Phyllospadix sp.,Paul W. Gabrielson,094B61EF-C6D0-9B43-894E-03C4BBC1714F
A88613,PTM85,Corallina,officinalis,Under Phyllospadix sp.,Paul W. Gabrielson,C0ACC043-9C27-104F-ADE1-FAF171DF6E34
A88614,PTM86,Clathromorphum,reclinatum,Under Phyllospadix sp.,Patrick T. Martone,C677997C-90B9-C542-8335-D2F68BD726F3
A88615,PTM87,Clathromorphum,reclinatum,Under Phyllospadix sp.,Paul W. Gabrielson,ECFA34CE-7885-3341-A121-6828389D64C5
A88616,PTM88,Mesophyllum,vancouveriense,On Phyllospadix sp. root,Patrick T. Martone,2A5489B1-761F-094D-BD75-F2D93B11D716
A88617,PTM89,Clathromorphum,reclinatum,Waist-high boulders,Patrick T. Martone,0AA96D70-33B7-E949-9CE5-1EECFA73025E
A88618,PTM90,Bossiella,frondifera,Waist-high boulders,Paul W. Gabrielson,7D98ED80-0175-B94C-ACCE-772558A00AA2
A88619,PTM91,Mesophyllum,vancouveriense,Under Phyllospadix sp.,Paul W. Gabrielson,A8534265-7990-744C-A94A-6B8CCA716119
A88620,PTM92,Corallina,vancouveriensis,Epilithic ,Patrick T. Martone,218BCBFD-303E-6741-AF97-FDD2A03D0803
A88621,PTM93,Bossiella,frondescens,On boulder,Patrick T. Martone and Katy R. Hind,381D83AB-FEA9-AF49-9ACC-8C995BD4E911
A88622,PTM94,Bossiella,frondifera,On boulder,Paul W. Gabrielson,AF4FE657-223C-E947-B6AA-9FBBA515F828
A88623,PTM95,Bossiella,frondescens,On boulders,Paul W. Gabrielson,979BDD32-535F-8548-99A3-D321A9B2DBA7
A88624,PTM96,Corallina,vancouveriensis,On boulders,Patrick T. Martone,D17EA408-740D-D940-946D-1DCA8176467B
A88631,PTM104,Bossiella,dichotoma, ,Patrick T. Martone,A230EAAD-2560-4F44-9483-D3E77543DD94
A88632,PTM105,Bossiella,plumosa,Under Hedophyllum sp.,Patrick T. Martone,4D033EB9-D824-5D4A-9C8F-EFAEFD10BA18
A88633,PTM106,Bossiella,californica, ,Paul W. Gabrielson,C116C224-D551-5945-9E51-37B984EDF704
A88635,PTM108,Bossiella,reptans,Under Phyllospadix sp.,Paul W. Gabrielson,3775B1AF-B2E1-D94B-845E-1912FD7F7F61
A88636,PTM109,Corallina,officinalis,"Tidepool, under Phyllospadix",Patrick T. Martone,45B84F5D-057B-E44E-8C62-D473E1D75FBE
A88637,PTM110,Corallina,officinalis,Under Hedophyllum sp.,Paul W. Gabrielson,28911021-4379-524D-856B-AE07B25D254B
A88638,PTM111,Corallina,officinalis,"Under Hedophyllum, same location as PTM-110",Paul W. Gabrielson,EB8D7A7F-43FB-EB49-912E-80D575B572C2
A88639,PTM112,Bossiella,californica,Under Pleurophycus and Egregia,Patrick T. Martone,F30E7967-522C-AA41-AF02-BFF8A6E50253
A88640,PTM113,Bossiella,frondescens,Under Hedophyllum; genetic sample,Patrick T. Martone,564414B2-4882-D44C-886D-86634088A7BE
A88641,PTM114,Corallina,vancouveriensis,Under Hedophyllum sp.,Patrick T. Martone,116BC2D9-80F2-8146-8315-4FAECBA5CD36
A88642,PTM115,Corallina,vancouveriensis,Tidepool ,Patrick T. Martone,F53045FD-1FF5-3A46-9FD3-5E723273B6AF
A88643,PTM116,Mesophyllum,conchatum,On Calliarthron tuberculosum,Paul W. Gabrielson,D4180194-C7CA-554B-AA94-AE7A35F388E0
A88644,PTM117,Mesophyllum,conchatum,On Calliarthron tuberculosum,Paul W. Gabrielson,4264D8E4-D7E3-954D-914E-DE583CAA24EE
A88645,PTM118,Bossiella,frondifera, ,Paul W. Gabrielson,CF8D6CF5-14B4-8D41-98A1-7372DF8E78CB
A88646,PTM119,Corallina,officinalis, ,Paul W. Gabrielson,01537DBF-10CD-0A45-BCF8-AFCBCAE97344
A88647,PTM120,Bossiella,frondifera,Above Phyllospadix sp.,Patrick T. Martone,EF1CD100-035B-3446-929D-B4546AEEB7CB
A88648,PTM121,Chiharaea,americana,Under Phyllospadix sp.,Katy R. Hind and Gary W. Saunders,B584A092-958F-D440-B23B-DCEE08188FC0
A88649,PTM122,Chiharaea,americana,"Under Phyllospadix sp. and Egregia sp., 1m higher than PTM-121",Patrick T. Martone and Katy R. Hind,4F3B22C3-3AB9-4D44-9E7C-17193C799AA4
A88650,PTM123,Crusticorallina,nootkana,Under Phyllospadix sp. competing with PTM-121,"Katharine R. Hind, Paul W. Gabrielson, C.P. Jensen, Patrick T. Martone",3BCA69A2-02CC-D941-ADC7-7343AD70869C
A88654,PTM127,Calliarthron,tuberculosum,Tidepool ,Patrick T. Martone,6EB8C014-342A-9C40-BEBF-0DFDF841334B
A88655,PTM128,Calliarthron,tuberculosum,Tidepool ,Patrick T. Martone,6401488D-9480-E340-9667-B00140C4B4FE
A88656,PTM129,Bossiella,schmittii, ,Patrick T. Martone,905DC7F4-BAEC-4E42-8CF7-E769031B8047
A88657,PTM130,Bossiella,manzae, ,Paul W. Gabrielson,E6B7AF51-35E3-CB40-A6CE-82489DC7BC6A
A88658,PTM131,Corallina,officinalis,Tidepool ,Paul W. Gabrielson,568CFF76-A3FC-6A46-90C9-6989892C1DE9
A88659,PTM132,Bossiella,frondifera,Near Hedophyllum sp.,Paul W. Gabrielson,7C8293DA-560F-264F-B87A-BB4445147C06
A88660,PTM133,Corallina,officinalis, ,Paul W. Gabrielson,A630432C-7460-AB44-A64B-80AA4ABE3412
A88661,PTM134,Bossiella,frondescens, ,Paul W. Gabrielson,CCD68622-5241-874F-8507-B87F4B9C1F7F
A88662,PTM136,Calliarthron,tuberculosum,Exposed bench and in tidepool,Patrick T. Martone,6143A965-9A3A-3949-BB4C-7538354BE386
A88663,PTM137,Bossiella,frondifera,Exposed bench and in tidepool,Paul W. Gabrielson,9819498F-718D-BE48-8495-47DAD03DAF81
A88664,PTM138,Corallina,vancouveriensis,Exposed bench and in tidepool,Patrick T. Martone,39378B2F-A6C7-E644-A393-AF7049A994C5
A88666,PTM140,Johansenia,macmillanii,Exposed bench and in tidepool,Patrick T. Martone,574720EB-A96D-EC4C-B40A-E757689685CC
A88667,PTM141,Mesophyllum,reclinatum,Exposed bench and in tidepool,Patrick T. Martone,B45440FA-6FAD-A245-ADF0-EBE6898CB330
A88668,PTM142,Corallina,vancouveriensis,"Tidepool, near Brady's Blowhole",Patrick T. Martone,2D43E180-F830-3D48-8A10-86312FCE50E0
A88669,PTM143,Corallina,sp.,"Tidepool, sandy",Patrick T. Martone,F94B2A10-DB74-2640-8CAB-4512BB2908FB
A88670,PTM144,Corallina,sp.,Tidepool near sandy beach,Patrick T. Martone,908102EA-CB4B-6541-AD79-94A2A8BD6C94
A88671,PTM145,Bossiella,frondescens,"Tidepool, near Brady's Blowhole",Paul W. Gabrielson,C2515B7E-E520-BE42-AFA2-456E4C3BA1EA
A88672,PTM146,Corallina,sp.,Hot tidepool,Patrick T. Martone,57C59F72-1B2A-FE49-850B-6B9E018286D8
A88673,PTM147,Bossiella,frondescens,Tidepool ,Paul W. Gabrielson,9324526C-EF0A-7341-B1AC-0BB5663FE78F
A88674,PTM148,Calliarthron,tuberculosum,Exposed intertidal habitat,Patrick T. Martone,E5189013-1ED8-1046-8BE9-3044AC6DEA81
A88675,PTM149,Bossiella,sp.,Lies flat on rocks with a diameter of approx 0.6 m,Patrick T. Martone,0D617312-A801-7B41-B450-C1E8B419D9FD
A88676,PTM150,Bossiella,frondescens,"Tidepool, large and fringed with dense coralline algae",Paul W. Gabrielson,4A466EDD-AD8C-2242-A64F-0230FFF4FDBF
A88677,PTM151,Bossiella,californica,On rocks,Paul W. Gabrielson,69E81617-7D15-994F-85C2-D16F5F10EF2A
A88678,PTM152,Bossiella,sp.,Tidepools ,Patrick T. Martone,F0F92B31-1FFA-DE4C-9309-E86BED1240E1
A88679,PTM153,Corallina,vancouveriensis, ,Patrick T. Martone,6D2F9132-BB52-E446-AB62-7143E80A6FB7
A88680,PTM154,Bossiella,plumosa,Exposed ,Patrick T. Martone and Katy Hind,994B8242-750E-5543-8EB3-55D3DEEAD7D7
A88681,PTM155,Bossiella,frondescens,Exposed tidepool,Paul W. Gabrielson,98EEAE70-1F2B-D148-87C9-2DB7C3292C54
A88682,PTM156,Corallina,vancouveriensis,Exposed ,Patrick T. Martone,2E7D3FF0-412F-3341-AAAB-B04063FA58D4
A88683,PTM157,Johansenia,macmillanii,Exposed ,Patrick T. Martone,D2C40B90-E521-2547-BF73-1B537DBB65C2
A88684,PTM158,Corallina,vancouveriensis,Hanging like pendent off vertical wall,Patrick T. Martone,C7962D20-47CB-E54E-AA3E-930123B28A8B
A88685,PTM159,Bossiella,sp., ,Patrick T. Martone,1E7323AB-CABC-3642-B3A5-2E9FE88F91BB
A88686,PTM160,Bossiella,frondifera, ,Patrick T. Martone and Katy R. Hind,07D36D2F-CD52-CA49-B362-B754DF6FDC27
A88687,PTM161,Corallina,vancouveriensis,On bare rock,Patrick T. Martone,CF08729B-4E6F-D04E-A1D0-CCC86A098054
A88688,PTM162,Clathromorphum,reclinatum,"On Bossiella frondifera, in tidepool",Paul W. Gabrielson,0D50D4E4-6B54-F04C-BCC5-03C9CFB2B5E1
A88689,PTM163,Corallina,vancouveriensis,"Under Saccharina sessilis, in Jenn Jorve's plots",Patrick T. Martone,BF3B045F-CB25-0341-9A9C-95DC04F3B46B
A88690,PTM164,Bossiella,frondifera,"Under Saccharina sessilis, in Jenn Jorve's plots",Paul W. Gabrielson,932A2EED-14E9-7040-93FE-D8876DDCFFC5
A88691,PTM165,Bossiella,sp.,"Shallow exposed tidepool, with mussels and barnacles",Patrick T. Martone,A09369B8-F9A7-5F4A-8F67-E90B1DA260A0
A88692,PTM166,Bossiella,manzae,Under Hedophyllum sp.,Paul W. Gabrielson,622327C2-2015-B34C-A165-45C593FF07E1
A88693,PTM167,Bossiella,manzae,Under Hedophyllum sp. and Egregia sp. in lower mid intertidal,Paul W. Gabrielson,99C42A76-5E2D-BC40-8BC0-4417B1D635B7
A88694,PTM168,Corallina,officinalis,Under rock overhang,Paul W. Gabrielson,E36E0416-BD29-4643-AAC4-32358CF091FD
A88695,PTM169,Bossiella,frondescens,In tide pool,Paul W. Gabrielson,AF1DB8CC-DC0C-9D43-8350-88379DA2EC8D
A88696,PTM170,Chiharaea,silvae,Under Phyllospadix sp. and Lessoniopsis sp.,Paul W. Gabrielson,C988B132-6B22-DA40-8174-E7E9424B886D
A88697,PTM171,Chiharaea,silvae,"On mussel, low intertidal with Lessoniopsis sp. and urchin holes",Patrick T. Martone and Katy R. Hind,B56074CF-E3E9-9446-8546-B1F5FEA02311
A88698,PTM172,Chiharaea,silvae,"On rock, dense patch, low intertidal with Lessoniopsis sp.",Paul W. Gabrielson,1258A5C5-E4A8-6A49-9029-94CF22921DD2
A88699,PTM173,Corallina,vancouveriensis,"Lower mid intertidal, exposed spot",Patrick T. Martone,3CE17CA5-49E5-9744-82B4-C1E988D372FA
A88700,PTM174,Corallina,officinalis,"Tidepool in mid intertidal, just above Hedophyllum sp.",Paul W. Gabrielson,F6BFC3C6-2309-704E-BA31-A991D37150FB
A88702,PTM176,Bossiella,plumosa,Near Postelsia sp. and under Saccharina sessilis,Paul W. Gabrielson,A9468F9A-9E86-4A4F-87B8-7EEED19263C2
A88703,PTM177,Corallina,vancouveriensis,Near Postelsia sp. and under Saccharina sessilis,Patrick T. Martone,CFDFAAA3-25CC-6644-8FA7-3E94E06E3786
A88704,PTM178,Bossiella,plumosa, ,Paul W. Gabrielson,63D69ADA-538C-3240-A600-B78736274407
A88705,PTM179,Corallina,vancouveriensis, ,Patrick T. Martone,1C5553B4-D5ED-954A-A37D-1FFF3D0CCF86
A88706,PTM180,Bossiella,frondifera,2 m below Postelsia,Paul W. Gabrielson,D81F9631-2DD0-244D-B6DD-49BD0FC9367B
